row_id,type,edges.1.from,edges.1.condition,message_text,save_name,choices.1
set_contact_field.bugfix,save_value,start,,,bugfix,
msg.The_tips_you_wi,send_message,set_contact_field.bugfix,,"The tips you will receive in this programme have been developed with support from Sanadak, Anar for Empowerment and Psychosocial Support, World Without Orphans, and Parenting for Lifelong Health.",,
msg._You_are_a_grea,send_message,msg.The_tips_you_wi,,"🧡 You are a great parent. Thank you for joining us. 

✅ Participating in ParentText is optional.
✅ We won’t ever ask for your name. Anything you share is safe, private, and anonymous.
✅Your anonymous information may also be shared with others working to help families like yours build strength and hope in tough times. All your information will be private and can’t be linked back to you.
❌You can stop when you want. Just type STOP",,
msg.ParentText_Term,send_message,msg._You_are_a_grea,,ParentText Terms and Conditions are available here: {consent_link}.,,
msg.Press_YES_if_yo,send_message,msg.ParentText_Term,,Press YES if you understand and want to receive ParentText. Type 'EXIT' if you do not wish to participate.,,YES
switch.input_text,wait_for_response,msg.Press_YES_if_yo,,,,
msg.Thank_you__We_h,send_message,switch.input_text,value;YES|variable;@input.text|type;has_only_phrase|name;Yes,Thank you! 🤲 We hope these tips will help you build strength and hope for you and your family.,,
add_contact_groups.in_program,add_to_group,msg.Thank_you__We_h,,in program|,,
set_contact_field.completed_conse,save_value,add_contact_groups.in_program,,yes,completed_consent,
set_contact_field.consent,save_value,set_contact_field.completed_conse,,yes,consent,
msg.Are_you_sure_yo,send_message,switch.input_text,value;EXIT|variable;@input.text|type;has_only_phrase|name;Exit,"Are you sure you do not want to get these messages? If you do not want to receive any more messages, please type NO. If you made a mistake, please press BACK and choose another option.",,BACK
switch.input_text.1,wait_for_response,msg.Are_you_sure_yo,,,,
msg.Thats_okay__If_,send_message,switch.input_text.1,value;NO|variable;@input.text|type;has_only_phrase|name;no consent,"That's okay. If you decide you want these tips later, type HELLO.",,
set_run_result.stop,save_flow_result,msg.Thats_okay__If_,,yes,stop,
set_contact_field.consent.1,save_value,set_run_result.stop,,no,consent,
goto.msg._You_are_a_grea,go_to,switch.input_text.1,value;BACK|variable;@input.text|type;has_only_phrase|name;Back,msg._You_are_a_grea|,,
msg.Sorry_I_dont_un,send_message,switch.input_text.1,,"Sorry, I don't understand what you mean.",,
goto.msg.Are_you_sure_yo,go_to,msg.Sorry_I_dont_un,,msg.Are_you_sure_yo|,,
msg.Sorry_I_dont_un.1,send_message,switch.input_text,,"Sorry, I don't understand what you mean.",,
goto.msg.Press_YES_if_yo,go_to,msg.Sorry_I_dont_un.1,,msg.Press_YES_if_yo|,,
