row_id,type,edges.1.from,edges.2.from,edges.3.from,edges.3.condition,edges.4.from,edges.1.condition,message_text,choices.1,choices.2,save_name
switch.fields_sq_onb_l,split_by_value,start,,,,,,@fields.sq_onb_locationexcluded,,,
set_contact_field.sq_onb_location,save_value,switch.fields_sq_onb_l,,,,,value;NA|variable;@fields.sq_onb_locationexcluded|type;has_only_phrase|name;is NA,,,,sq_onb_locationexcluded
switch.fields_sq_onb_l.1,split_by_value,set_contact_field.sq_onb_location,switch.fields_sq_onb_l,,,,,@fields.sq_onb_location,,,
set_run_result.dummy,save_flow_result,switch.fields_sq_onb_l.1,,,,,value;Gaza West Bank|variable;@fields.sq_onb_location|type;has_any_word|name;Gaza West Bank,"Block can’t start with for loop, see issue #47",,,dummy
msg.This_is_a_very_,send_message,set_run_result.dummy,,,,,,"This is a very difficult and dangerous time for you and your family. These tips might be different from what you need right now. What would you like to do?

Press a number on your keypad:
1. I want the tips
2. I do not want the tips",1,2,
switch.input,wait_for_response,msg.This_is_a_very_,,,,,,,,,input
set_run_result.variable,save_flow_result,switch.input,,,,,"value;1,|variable;@input.text|type;has_any_word|name;I Want The Tips",want tips,,,variable
set_run_result.variable.1,save_flow_result,switch.input,,,,,"value;2,|variable;@input.text|type;has_any_word|name;I Do Not Want The Tips",no tips,,,variable
set_contact_field.sq_onb_location.1,save_value,set_run_result.variable,set_run_result.variable.1,,,,,@results.variable,,,sq_onb_locationexcluded
set_run_result.dummy.1,save_flow_result,set_contact_field.sq_onb_location.1,,,,,,Need something to apply this label to,,,dummy
switch.fields_sq_onb_l.2,split_by_value,set_run_result.dummy.1,,,,,,@fields.sq_onb_locationexcluded,,,
set_run_result.next_action,save_flow_result,switch.fields_sq_onb_l.2,,,,,value;no tips|variable;@fields.sq_onb_locationexcluded|type;has_only_phrase|name;stop,stop,,,next action
msg.Thats_okay__If_,send_message,set_run_result.next_action,,,,,,"That's okay. If you decide you want these tips later, type HELLO.",,,
msg.Sorry_I_dont_un,send_message,switch.input,,,,,,"Sorry, I don't understand what you mean.",,,
goto.set_run_result.dummy,go_to,msg.Sorry_I_dont_un,,,,,,set_run_result.dummy|,,,
switch.fields_sq_onb_l.3,split_by_value,switch.fields_sq_onb_l.1,,,,,,@fields.sq_onb_locationexcluded,,,
set_contact_field.sq_onb_location.2,save_value,switch.fields_sq_onb_l.3,,,,,,NA,,,sq_onb_locationexcluded
set_contact_field.sq_onb_location.3,save_value,msg.Thats_okay__If_,switch.fields_sq_onb_l.2,switch.fields_sq_onb_l.3,variable;@fields.sq_onb_locationexcluded|type;has_text|name;had value,set_contact_field.sq_onb_location.2,,yes,,,sq_onb_locationexcluded_complete
