row_id,type,edges.1.from,edges.2.from,edges.3.from,edges.4.from,edges.1.condition,message_text,choices.1,choices.2,choices.3,choices.4,save_name
switch.fields_sq_onb_a,split_by_value,start,,,,,@fields.sq_onb_age,,,,,
set_contact_field.sq_onb_age,save_value,switch.fields_sq_onb_a,,,,value;NA|variable;@fields.sq_onb_age|type;has_only_phrase|name;is NA,,,,,,sq_onb_age
switch.1,split_by_value,set_contact_field.sq_onb_age,switch.fields_sq_onb_a,,,,1,,,,,
set_run_result.dummy,save_flow_result,switch.1,,,,,"Block can’t start with for loop, see issue #47",,,,,dummy
msg.How_old_are_you,send_message,set_run_result.dummy,,,,,How old are you?,Under 16 years old,16-19 years old,20-35 years old,Over 35 years old,
switch.input,wait_for_response,msg.How_old_are_you,,,,,,,,,,input
set_run_result.variable,save_flow_result,switch.input,,,,value;Under 16 years old|variable;@input.text|type;has_only_phrase|name;Under 16 Years Old,Under 16 years old,,,,,variable
set_run_result.variable.1,save_flow_result,switch.input,,,,value;16-19 years old|variable;@input.text|type;has_only_phrase|name;16-19 Years Old,16-19 years old,,,,,variable
set_run_result.variable.2,save_flow_result,switch.input,,,,value;20-35 years old|variable;@input.text|type;has_only_phrase|name;20-35 Years Old,20-35 years old,,,,,variable
set_run_result.variable.3,save_flow_result,switch.input,,,,value;Over 35 years old|variable;@input.text|type;has_only_phrase|name;Over 35 Years Old,Over 35 years old,,,,,variable
set_contact_field.sq_onb_age.1,save_value,set_run_result.variable,set_run_result.variable.1,set_run_result.variable.2,set_run_result.variable.3,,@results.variable,,,,,sq_onb_age
set_run_result.dummy.1,save_flow_result,set_contact_field.sq_onb_age.1,,,,,Need something to apply this label to,,,,,dummy
set_contact_field.sq_onb_age_comp,save_value,set_run_result.dummy.1,,,,,yes,,,,,sq_onb_age_complete
msg.Sorry_I_dont_un,send_message,switch.input,,,,,"Sorry, I don't understand what you mean.",,,,,
goto.set_run_result.dummy,go_to,msg.Sorry_I_dont_un,,,,,set_run_result.dummy|,,,,,
