row_id,type,edges.1.from,edges.1.condition,message_text,choices.1,choices.2,save_name
set_run_result.sg_back,save_flow_result,start,,no,,,sg_back
flow.safeguarding_re,start_new_flow,set_run_result.sg_back,,safeguarding_redirect_to_topic_all,,,
switch.child_results_p,split_by_value,flow.safeguarding_re,value;completed|,@child.results.proceed,,,
msg.Would_you_like_,send_message,switch.child_results_p,value;yes|variable;@child.results.proceed|type;has_any_word|name;proceed,Would you like to go back to the previous messages?,Yes,No,
switch.input_text,wait_for_response,msg.Would_you_like_,,,,,
set_run_result.sg_back.1,save_flow_result,switch.input_text,value;yes y yeah yep|variable;@input.text|type;has_any_word|name;Yes Y Yeah Yep,yes,,,sg_back
msg.Thats_okay__Typ,send_message,switch.input_text,value;no n nope nah|variable;@input.text|type;has_any_word|name;No N Nope Nah,That's okay. Type HELP at any time if you would like the details of emergency services or other hotlines.,,,
msg.Sorry_I_dont_un,send_message,switch.input_text,,"Sorry, I don't understand what you mean.",,,
goto.msg.Would_you_like_,go_to,msg.Sorry_I_dont_un,,msg.Would_you_like_|,,,
set_contact_field.just_left,save_value,switch.child_results_p,,,,,just_left
