row_id,type,edges.1.from,edges.2.from,edges.2.condition,edges.3.from,edges.1.condition,message_text,save_name,no_response,audio,choices.1,video
switch.media,split_by_value,start,,,,,@fields.type_of_media,,,,,
msg.Todays_pause_is,send_message,switch.media,,,,value;high|variable;@fields.type_of_media|type;has_any_word|name;High,"Today's pause is called ""Breath and Body Awareness"".

Press ▶️ to watch a video to practise taking a pause together",,,,NEXT,"@(fields.voiceover_video_path & ""breath_body_awareness.mp4"")"
wait_for.wait_media,wait_for_response,msg.Todays_pause_is,,,,,,wait_media,300,,,
msg.Press__to_liste,send_message,switch.media,,,,value;medium|variable;@fields.type_of_media|type;has_any_word|name;Medium,Press ▶️ to listen to an audio and practise taking a pause together,,,"@(fields.voiceover_audio_path & ""breath_body_awareness.mp3"")",,
msg.Todays_pause_is.1,send_message,msg.Press__to_liste,switch.media,,,,"Today's pause is called ""Breath and Body Awareness"".",,,,,
msg.Start_by_taking,send_message,msg.Todays_pause_is.1,,,,,"Start by taking a deep breath.
 
Notice how you are feeling emotionally. 

Notice how your body feels.",,,,NEXT,
switch.input_text,wait_for_response,msg.Start_by_taking,,,,,,,,,,
msg.Continue_to_tak,send_message,switch.input_text,,,,,"Continue to take deep breaths.

Feel your breath as it goes in and out.

Notice any emotions you are feeling. Are there feelings of happiness, excitement, worry?

Whatever you are feeling is okay.",,,,NEXT,
switch.input_text.1,wait_for_response,msg.Continue_to_tak,,,,,,,,,,
msg.Now_expand_your,send_message,switch.input_text.1,,,,,"Now, expand your awareness to your whole body. 

Listen to the sounds in the room.",,,,NEXT,
switch.input_text.2,wait_for_response,msg.Now_expand_your,,,,,,,,,,
msg.Take_a_moment_t,send_message,switch.input_text.2,,,,,"Take a moment to reflect on whether you feel any different. 

When you are ready, continue to your lesson with a sense of calm.",,,,NEXT,
switch.input_text.3,wait_for_response,msg.Take_a_moment_t,,,,,,,,,,
set_run_result.completed,save_flow_result,wait_for.wait_media,wait_for.wait_media,value;No Response|,switch.input_text.3,,yes,completed,,,,
