row_id,type,edges.1.from,edges.2.from,edges.2.condition,edges.3.from,edges.4.from,edges.4.condition,edges.5.from,edges.6.from,edges.7.from,edges.8.from,edges.9.from,edges.10.from,edges.1.condition,message_text,save_name,choices.1,choices.2,choices.3,choices.4,choices.5,choices.6,choices.7,choices.8
msg._Where_are_you_,send_message,start,,,,,,,,,,,,,📍 Where are you located?,,Jordan,Gaza,West Bank,Lebanon,Egypt,Syria,Yemen,Other
switch.input_text,wait_for_response,msg._Where_are_you_,,,,,,,,,,,,,,,,,,,,,,
set_contact_field.location,save_value,switch.input_text,,,,,,,,,,,,value;Jordan|variable;@input.text|type;has_only_phrase|name;Jordan,Jordan,location,,,,,,,,
set_contact_field.location.1,save_value,switch.input_text,,,,,,,,,,,,value;Gaza|variable;@input.text|type;has_only_phrase|name;Gaza,Gaza,location,,,,,,,,
msg.This_is_a_very_,send_message,set_contact_field.location.1,,,,,,,,,,,,,"This is a very difficult and dangerous time for you and your family. These tips might be different from what you need right now. What would you like to do?

Press a number on your keypad:
1. I want the tips
2. I do not want the tips",,1,2,,,,,,
switch.input_text.1,wait_for_response,msg.This_is_a_very_,,,,,,,,,,,,,,,,,,,,,,
msg.Thats_okay__If_,send_message,switch.input_text.1,,,,,,,,,,,,"value;2,|variable;@input.text|type;has_any_word|name;I do not want the tips","That's okay. If you decide you want these tips later, type HELLO.",,,,,,,,,
set_run_result.stop,save_flow_result,msg.Thats_okay__If_,,,,,,,,,,,,,yes,stop,,,,,,,,
remove_contact_groups.in_program,remove_from_group,set_run_result.stop,,,,,,,,,,,,,in program|,,,,,,,,,
add_contact_groups.passive_drop_ou,add_to_group,remove_contact_groups.in_program,,,,,,,,,,,,,passive drop out|,,,,,,,,,
msg.Sorry_I_dont_un,send_message,switch.input_text.1,,,,,,,,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,
goto.msg.This_is_a_very_,go_to,msg.Sorry_I_dont_un,,,,,,,,,,,,,msg.This_is_a_very_|,,,,,,,,,
set_contact_field.location.2,save_value,switch.input_text,,,,,,,,,,,,value;West Bank|variable;@input.text|type;has_only_phrase|name;West Bank,West Bank,location,,,,,,,,
msg.This_is_a_very_.1,send_message,set_contact_field.location.2,,,,,,,,,,,,,"This is a very difficult and dangerous time for you and your family. These tips might be different from what you need right now. What would you like to do?

Press a number on your keypad:
1. I want the tips
2. I do not want the tips",,1,2,,,,,,
switch.input_text.2,wait_for_response,msg.This_is_a_very_.1,,,,,,,,,,,,,,,,,,,,,,
msg.Thats_okay__If_.1,send_message,switch.input_text.2,,,,,,,,,,,,"value;2,|variable;@input.text|type;has_any_word|name;I do not want the tips","That's okay. If you decide you want these tips later, type HELLO.",,,,,,,,,
set_run_result.stop.1,save_flow_result,msg.Thats_okay__If_.1,,,,,,,,,,,,,yes,stop,,,,,,,,
remove_contact_groups.in_program.1,remove_from_group,set_run_result.stop.1,,,,,,,,,,,,,in program|,,,,,,,,,
add_contact_groups.passive_drop_ou.1,add_to_group,remove_contact_groups.in_program.1,,,,,,,,,,,,,passive drop out|,,,,,,,,,
msg.Sorry_I_dont_un.1,send_message,switch.input_text.2,,,,,,,,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,
goto.msg.This_is_a_very_.1,go_to,msg.Sorry_I_dont_un.1,,,,,,,,,,,,,msg.This_is_a_very_.1|,,,,,,,,,
set_contact_field.location.3,save_value,switch.input_text,,,,,,,,,,,,value;Lebanon|variable;@input.text|type;has_only_phrase|name;Lebanon,Lebanon,location,,,,,,,,
set_contact_field.location.4,save_value,switch.input_text,,,,,,,,,,,,value;Egypt|variable;@input.text|type;has_only_phrase|name;Egypt,Egypt,location,,,,,,,,
set_contact_field.location.5,save_value,switch.input_text,,,,,,,,,,,,value;Syria|variable;@input.text|type;has_only_phrase|name;Syria,Syria,location,,,,,,,,
set_contact_field.location.6,save_value,switch.input_text,,,,,,,,,,,,value;Yemen|variable;@input.text|type;has_only_phrase|name;Yemen,Yemen,location,,,,,,,,
set_contact_field.location.7,save_value,switch.input_text,,,,,,,,,,,,value;Other|variable;@input.text|type;has_only_phrase|name;Other_alt,Other,location,,,,,,,,
set_contact_field.completed_locat,save_value,set_contact_field.location,switch.input_text.1,"value;1,|variable;@input.text|type;has_any_word|name;I want the tips",add_contact_groups.passive_drop_ou,switch.input_text.2,"value;1,|variable;@input.text|type;has_any_word|name;I want the tips",add_contact_groups.passive_drop_ou.1,set_contact_field.location.3,set_contact_field.location.4,set_contact_field.location.5,set_contact_field.location.6,set_contact_field.location.7,,yes,completed_location,,,,,,,,
msg.Sorry_I_dont_un.2,send_message,switch.input_text,,,,,,,,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,
goto.msg._Where_are_you_,go_to,msg.Sorry_I_dont_un.2,,,,,,,,,,,,,msg._Where_are_you_|,,,,,,,,,
