row_id,type,edges.1.from,message_text,save_name,choices.1,image
msg.Keeping_childre,send_message,start,"Keeping children safe can feel overwhelming, especially when dealing with unexpected challenges.",,,
msg.In_such_moments,send_message,msg.Keeping_childre,"In such moments, having a clear plan will help you and your children know what to do to be safe.",,,
msg.Here_are_3_tips,send_message,msg.In_such_moments,Here are 3️⃣ tips on how to keep your children safe in an unsafe situation:,,,
msg.1_TALKTalk_to_c,send_message,msg.Here_are_3_tips,"1️⃣ *TALK*

Talk to children about what is happening in a way that they can understand.

Talk to them about things that are not safe.",,NEXT,"@(fields.image_path & ""budget_savings_teen_4.jpg"")"
switch.input_text,wait_for_response,msg.1_TALKTalk_to_c,,,,
msg.2_PLANIdentify_,send_message,switch.input_text,"2️⃣ *PLAN*

Identify a meeting point and make a plan in case you get separated.

Keep children with you or with someone you trust all the time.

Planning with children helps them feel safer too.",,NEXT,"@(fields.image_path & ""budget_savings_teen_3.jpg"")"
switch.input_text.1,wait_for_response,msg.2_PLANIdentify_,,,,
msg.3_ASSUREAssure_,send_message,switch.input_text.1,"3️⃣ *ASSURE*

Assure your children that you will do everything to keep them safe.

Encourage them to share anything that worries them with you.

Be proud of your efforts and try to take care of yourself too.",,NEXT,"@(fields.image_path & ""budget_savings_teen_3.jpg"")"
switch.input_text.2,wait_for_response,msg.3_ASSUREAssure_,,,,
msg._100,send_message,switch.input_text.2,"✅ 100%
",,,
set_run_result.completed,save_flow_result,msg._100,yes,completed,,
