row_id,type,edges.1.from,message_text,save_name,choices.1,image
msg.Human_trafficke,send_message,start,"Human traffickers are people who want to take children away from their families and make money from it. They usually target vulnerable people, like children who are unaccompanied by an adult or are escaping from difficult situations.",,,
msg.Sometimes_child,send_message,msg.Human_trafficke,"Sometimes, children may not realise that they are being tricked by traffickers. They might be scared to report the adult who is threatening them.",,,
msg.Here_are_3_thin,send_message,msg.Sometimes_child,Here are 3️⃣ things for you to do to help protect your children from traffickers:,,,
msg.1_TEACHTraffick,send_message,msg.Here_are_3_thin,"1️⃣ *TEACH*

Traffickers can be anyone - men, women, couples, and even people from your own community.

Teach your children people sometimes lie and try to trick children into coming with them.",,NEXT,
switch.input_text,wait_for_response,msg.1_TEACHTraffick,,,,
msg.2_GET_AWAYTeach,send_message,switch.input_text,"2️⃣ *GET AWAY*

Teach children to trust their instincts and get away if something feels strange.",,NEXT,
switch.input_text.1,wait_for_response,msg.2_GET_AWAYTeach,,,,
msg.3_TALKTell_chil,send_message,switch.input_text.1,"3️⃣ *TALK*

Tell children to talk to a trusted adult if they feel confused or worried.",,NEXT,"@(fields.image_path & ""routines_yc_6.jpg"")"
switch.input_text.2,wait_for_response,msg.3_TALKTell_chil,,,,
msg._100,send_message,switch.input_text.2,"✅ 100%
",,,
set_run_result.completed,save_flow_result,msg._100,yes,completed,,
