row_id,type,edges.1.from,edges.2.from,edges.1.condition,message_text,save_name,choices.1,choices.2,image
msg.Please_select_y,send_message,start,,,"Please select your language:

من فضلك ادخل اللغة",,English,اللغة العربية,https://firebasestorage.googleapis.com/v0/b/idems-media-recorder.appspot.com/o/project%2FPLH%2Fsubproject%2FParentText_v2%2Fdeployment%2FGlobal%2FresourceGroup%2Fimage%2Funiversal%2Fparenttext_logo.png?alt=media&token=09fbdf89-e9c8-4d06-bf14-4c480a3a869a
switch.input_text,wait_for_response,msg.Please_select_y,,,,,,,
set_contact_language.language,set_contact_language,switch.input_text,,value;English|variable;@input.text|type;has_only_phrase|name;English,eng,,,,
set_contact_field.attachment_lang,save_value,set_contact_language.language,,,eng,attachment_language,,,
set_contact_language.language.1,set_contact_language,switch.input_text,,value;اللغة العربية|variable;@input.text|type;has_only_phrase|name;اللغة العربية,ara,,,,
set_contact_field.attachment_lang.1,save_value,set_contact_language.language.1,,,ara,attachment_language,,,
flow.define_attachme,start_new_flow,set_contact_field.attachment_lang,set_contact_field.attachment_lang.1,,define_attachment_paths,,,,
set_contact_field.completed_langu,save_value,flow.define_attachme,,value;completed|,yes,completed_language,,,
msg.Sorry_I_dont_un,send_message,switch.input_text,,,"Sorry, I don't understand what you mean.",,,,
goto.msg.Please_select_y,go_to,msg.Sorry_I_dont_un,,,msg.Please_select_y|,,,,
