row_id,type,edges.1.from,message_text,save_name,choices.1,image
msg.Human_trafficke,send_message,start,"Human traffickers are people who want to take children away from their families and make money from it. They usually target vulnerable people, like children who are unaccompanied by an adult or are escaping from difficult situations.",,NEXT,
switch.input_text,wait_for_response,msg.Human_trafficke,,,,
set_contact_field.ntb_protect_fro,save_value,switch.input_text,"@(text_length(""1""))",ntb protect from traffickers,,
set_contact_field.ncb_protect_fro,save_value,set_contact_field.ntb_protect_fro,"@(text_length(""""))",ncb protect from traffickers,,
msg.Sometimes_child,send_message,set_contact_field.ncb_protect_fro,"Sometimes, children may not realise that they are being tricked by traffickers. They might be scared to report the adult who is threatening them.",,,
set_contact_field.ntb_protect_fro.1,save_value,msg.Sometimes_child,"@(text_length(""1""))",ntb protect from traffickers,,
set_contact_field.ncb_protect_fro.1,save_value,set_contact_field.ntb_protect_fro.1,"@(text_length(""""))",ncb protect from traffickers,,
msg.Here_are_3_thin,send_message,set_contact_field.ncb_protect_fro.1,Here are 3️⃣ things for you to do to help protect your children from traffickers:,,,
msg.1_TEACHTraffick,send_message,msg.Here_are_3_thin,"1️⃣ *TEACH*

Traffickers can be anyone - men, women, couples, and even people from your own community.

Teach your children people sometimes lie and try to trick children into coming with them.",,NEXT,
switch.input_text.1,wait_for_response,msg.1_TEACHTraffick,,,,
msg.2_GET_AWAYTeach,send_message,switch.input_text.1,"2️⃣ *GET AWAY*

Teach children to trust their instincts and get away if something feels strange.",,NEXT,
switch.input_text.2,wait_for_response,msg.2_GET_AWAYTeach,,,,
msg.3_TALKTell_chil,send_message,switch.input_text.2,"3️⃣ *TALK*

Tell children to talk to a trusted adult if they feel confused or worried.",,NEXT,"@(fields.image_path & ""routines_yc_6.jpg"")"
switch.input_text.3,wait_for_response,msg.3_TALKTell_chil,,,,
set_contact_field.ntb_protect_fro.2,save_value,switch.input_text.3,"@(text_length(""1""))",ntb protect from traffickers,,
set_contact_field.ncb_protect_fro.2,save_value,set_contact_field.ntb_protect_fro.2,"@(text_length(""1""))",ncb protect from traffickers,,
msg._100,send_message,set_contact_field.ncb_protect_fro.2,"✅ 100%
",,,
msg.Thank_you_for_j,send_message,msg._100,Thank you for joining us today. Talking to children about traffickers can be hard for both you and  your children. Remember to be kind and patient with yourself and your children.,,,
set_contact_field.ntb_protect_fro.3,save_value,msg.Thank_you_for_j,"@(text_length(""1""))",ntb protect from traffickers,,
set_contact_field.ncb_protect_fro.3,save_value,set_contact_field.ntb_protect_fro.3,"@(text_length(""1""))",ncb protect from traffickers,,
set_run_result.completed,save_flow_result,set_contact_field.ncb_protect_fro.3,yes,completed,,
