row_id,type,edges.1.from,edges.2.from,edges.2.condition,edges.3.from,save_name,no_response,edges.1.condition,message_text,audio,choices.1,video
msg.Before_we_begin,send_message,start,,,,,,,"Before we begin today's lesson, let's take a pause together. 

Sometimes when we are experiencing stress or feeling alone, it can be helpful to send thoughts of loving kindness to ourselves.",,NEXT,
switch.input_text,wait_for_response,msg.Before_we_begin,,,,,,,,,,
switch.media,split_by_value,switch.input_text,,,,,,,@fields.type_of_media,,,
msg.Todays_pause_is,send_message,switch.media,,,,,,value;high|variable;@fields.type_of_media|type;has_any_word|name;High,"Today's pause is called ""Loving Kindness Meditation"".

Press ▶️ to watch a video to practise taking a pause together",,NEXT,"@(fields.voiceover_video_path & ""loving_kindness meditation.mp4"")"
wait_for.wait_media,wait_for_response,msg.Todays_pause_is,,,,wait_media,300,,,,,
msg.Press__to_liste,send_message,switch.media,,,,,,value;medium|variable;@fields.type_of_media|type;has_any_word|name;Medium,Press ▶️ to listen to an audio and practise taking a pause together,"@(fields.voiceover_audio_path & ""loving_kindness meditation.mp3"")",,
msg.Todays_pause_is.1,send_message,msg.Press__to_liste,switch.media,,,,,,"Today's pause is called ""Loving Kindness Meditation"".",,,
msg.Find_a_comforta,send_message,msg.Todays_pause_is.1,,,,,,,"Find a comfortable sitting position, your feet flat on the floor, your hands resting in your lap. 

Ask yourself, “What is my experience in this moment?”",,NEXT,
switch.input_text.1,wait_for_response,msg.Find_a_comforta,,,,,,,,,,
msg.Notice_what_tho,send_message,switch.input_text.1,,,,,,,"Notice what thoughts you are experiencing. 

Notice how you feel emotionally. 

Notice how your body feels. Notice any discomfort or tension.",,NEXT,
switch.input_text.2,wait_for_response,msg.Notice_what_tho,,,,,,,,,,
msg.Connect_to_your,send_message,switch.input_text.2,,,,,,,"Connect to your heart in a kind and gentle way. You may want to place one hand on your heart or chest. 

You can then say the following words silently to yourself: 

May I be peaceful. 

May I be safe. 

May I be healthy. 

May I be happy. 

May I feel loved. 

Repeat slowly once or twice taking your time between each phrase.",,NEXT,
switch.input_text.3,wait_for_response,msg.Connect_to_your,,,,,,,,,,
msg.If_you_feel_com,send_message,switch.input_text.3,,,,,,,"If you feel comfortable, you can also send thoughts of loving-kindness to your child, your partner, your family, and anyone else who is close to you in your life.

Now, allow your focus to expand to the whole body. 

Allow your focus to expand to the sounds in the room.",,NEXT,
switch.input_text.4,wait_for_response,msg.If_you_feel_com,,,,,,,,,,
msg.Take_a_moment_t,send_message,wait_for.wait_media,wait_for.wait_media,value;No Response|,switch.input_text.4,,,,"Take a moment to reflect on your experience. 

When you are ready, continue to today's lesson with a sense of calm. 

Thank you for taking a moment to pause with us.",,,
